month,year,pf_id,status,local_time,op_months,fixed_price,avg_energy_MWh,degradation_factor,revenue,opex,interest,debt_repay,gross_cf,tax,after_tax_fcf,token_cf_75pct,distribution,nav_contribution,curtailment,contracted_price
334,27.83,23,POST,34,22,245.86,106.66,0.990852,25983133.0,1666667.0,1666667.0,2222222.0,20427578.0,4494067.0,15933511.0,11950133.0,11950133.0,1705295954.0,0,245.86
334,27.83,24,POST,22,10,254.33,106.66,0.995832,27012801.0,1666667.0,1666667.0,2222222.0,21457245.0,4720594.0,16736651.0,12552488.0,12552488.0,1860202637.0,0,254.33
334,27.83,25,PRE,10,0,237.33,106.66,1.0,25312650.0,1666667.0,1666667.0,2222222.0,19757094.0,4346561.0,15410533.0,11557900.0,0.0,1731707887.0,0,
335,27.92,5,POST,251,239,217.92,105.46,0.904988,20797075.0,1666667.0,1666667.0,0.0,17463742.0,3842023.0,13621719.0,10216289.0,10216289.0,9207925.0,0,217.92
335,27.92,6,POST,239,227,202.41,105.46,0.909536,19414571.0,1666667.0,1666667.0,0.0,16081238.0,3537872.0,12543366.0,9407524.0,9407524.0,108110618.0,0,202.41
335,27.92,7,POST,227,215,198.62,105.46,0.914107,19146617.0,1666667.0,1666667.0,0.0,15813284.0,3478922.0,12334362.0,9250771.0,9250771.0,200555995.0,0,198.62
335,27.92,8,POST,215,203,210.81,105.46,0.9187,20423806.0,1666667.0,1666667.0,0.0,17090473.0,3759904.0,13330569.0,9997927.0,9997927.0,314763510.0,0,210.81
335,27.92,9,POST,203,191,216.44,105.46,0.923317,21074405.0,1666667.0,1666667.0,0.0,17741071.0,3903036.0,13838036.0,10378527.0,10378527.0,424664922.0,0,216.44
335,27.92,10,POST,191,179,251.22,105.46,0.927957,24584292.0,1666667.0,1666667.0,2222222.0,19028736.0,4186322.0,14842414.0,11131811.0,11131811.0,556594574.0,0,251.22
335,27.92,11,POST,179,167,270.52,105.46,0.93262,26605505.0,1666667.0,1666667.0,2222222.0,21049950.0,4630989.0,16418961.0,12314221.0,12314221.0,723416754.0,0,270.52
335,27.92,12,POST,167,155,267.81,105.46,0.937306,26471189.0,1666667.0,1666667.0,2222222.0,20915633.0,4601439.0,16314194.0,12235645.0,12235645.0,821876658.0,0,267.81
335,27.92,13,POST,155,143,265.18,105.46,0.942016,26342998.0,1666667.0,1666667.0,2222222.0,20787442.0,4573237.0,16214205.0,12160654.0,12160654.0,915541496.0,0,265.18
335,27.92,14,POST,143,131,267.36,105.46,0.94675,26693589.0,1666667.0,1666667.0,2222222.0,21138033.0,4650367.0,16487666.0,12365749.0,12365749.0,1027711392.0,0,267.36
335,27.92,15,POST,131,119,266.86,105.46,0.951508,26776773.0,1666667.0,1666667.0,2222222.0,21221217.0,4668668.0,16552550.0,12414412.0,12414412.0,1125373716.0,0,266.86
335,27.92,16,POST,119,107,258.82,105.46,0.956289,26101106.0,1666667.0,1666667.0,2222222.0,20545550.0,4520021.0,16025529.0,12019147.0,12019147.0,1176948503.0,0,258.82
335,27.92,17,POST,107,95,254.5,105.46,0.961094,25794570.0,1666667.0,1666667.0,2222222.0,20239014.0,4452583.0,15786431.0,11839823.0,11839823.0,1242447579.0,0,254.5
335,27.92,18,POST,95,83,275.19,105.46,0.965924,28031813.0,1666667.0,1666667.0,2222222.0,22476258.0,4944777.0,17531481.0,13148611.0,13148611.0,1468799587.0,0,275.19
335,27.92,19,POST,83,71,279.89,105.46,0.970778,28652906.0,1666667.0,1666667.0,2222222.0,23097351.0,5081417.0,18015934.0,13511950.0,13511950.0,1597685015.0,0,279.89
335,27.92,20,POST,71,59,247.51,105.46,0.975656,25466153.0,1666667.0,1666667.0,2222222.0,19910597.0,4380331.0,15530266.0,11647699.0,11647699.0,1450753094.0,0,247.51
335,27.92,21,POST,59,47,233.41,105.46,0.980559,24135987.0,1666667.0,1666667.0,2222222.0,18580431.0,4087695.0,14492736.0,10869552.0,10869552.0,1420092977.0,0,233.41
335,27.92,22,POST,47,35,236.52,105.46,0.985486,24580666.0,1666667.0,1666667.0,2222222.0,19025111.0,4185524.0,14839586.0,11129690.0,11129690.0,1519644946.0,0,236.52
335,27.92,23,POST,35,23,245.86,105.46,0.990439,25679479.0,1666667.0,1666667.0,2222222.0,20123923.0,4427263.0,15696660.0,11772495.0,11772495.0,1674460395.0,0,245.86
335,27.92,24,POST,23,11,254.33,105.46,0.995416,26697113.0,1666667.0,1666667.0,2222222.0,21141557.0,4651143.0,16490415.0,12367811.0,12367811.0,1827258768.0,0,254.33
335,27.92,25,PRE,11,0,231.85,105.46,1.0,24449601.0,1666667.0,1666667.0,2222222.0,18894045.0,4156690.0,14737355.0,11053017.0,0.0,1664759573.0,0,
336,28.0,5,POST,252,240,217.92,104.83,0.90461,20664845.0,1666667.0,1666667.0,0.0,17331512.0,3812933.0,13518579.0,10138934.0,0.0,0.0,0,217.92
336,28.0,6,POST,240,228,202.41,104.83,0.909156,19291131.0,1666667.0,1666667.0,0.0,15957798.0,3510716.0,12447082.0,9335312.0,9335312.0,99187736.0,0,202.41
336,28.0,7,POST,228,216,198.62,104.83,0.913725,19024881.0,1666667.0,1666667.0,0.0,15691548.0,3452140.0,12239407.0,9179555.0,9179555.0,191355785.0,0,198.62
336,28.0,8,POST,216,204,210.81,104.83,0.918316,20293950.0,1666667.0,1666667.0,0.0,16960616.0,3731336.0,13229281.0,9921960.0,9921960.0,304408280.0,0,210.81
336,28.0,9,POST,204,192,216.44,104.83,0.922931,20940411.0,1666667.0,1666667.0,0.0,17607078.0,3873557.0,13733521.0,10300141.0,10300141.0,413499999.0,0,216.44
336,28.0,10,POST,192,180,251.22,104.83,0.927569,24427982.0,1666667.0,1666667.0,0.0,21094649.0,4640823.0,16453826.0,12340369.0,12340369.0,607843851.0,0,251.22
336,28.0,11,POST,180,168,270.52,104.83,0.93223,26436344.0,1666667.0,1666667.0,2222222.0,20880789.0,4593774.0,16287015.0,12215261.0,12215261.0,708852878.0,0,270.52
336,28.0,12,POST,168,156,267.81,104.83,0.936915,26302882.0,1666667.0,1666667.0,2222222.0,20747326.0,4564412.0,16182914.0,12137186.0,12137186.0,806887493.0,0,267.81
336,28.0,13,POST,156,144,265.18,104.83,0.941623,26175506.0,1666667.0,1666667.0,2222222.0,20619950.0,4536389.0,16083561.0,12062671.0,12062671.0,900143498.0,0,265.18
336,28.0,14,POST,144,132,267.36,104.83,0.946355,26523868.0,1666667.0,1666667.0,2222222.0,20968312.0,4613029.0,16355283.0,12266463.0,12266463.0,1011597617.0,0,267.36
336,28.0,15,POST,132,120,266.86,104.83,0.95111,26606523.0,1666667.0,1666667.0,2222222.0,21050968.0,4631213.0,16419755.0,12314816.0,12314816.0,1108734878.0,0,266.86
336,28.0,16,POST,120,108,258.82,104.83,0.95589,25935152.0,1666667.0,1666667.0,2222222.0,20379596.0,4483511.0,15896085.0,11922064.0,11922064.0,1160335813.0,0,258.82
336,28.0,17,POST,108,96,254.5,104.83,0.960693,25630565.0,1666667.0,1666667.0,2222222.0,20075009.0,4416502.0,15658507.0,11743880.0,11743880.0,1225626023.0,0,254.5
336,28.0,18,POST,96,84,275.19,104.83,0.965521,27853584.0,1666667.0,1666667.0,2222222.0,22298028.0,4905566.0,17392462.0,13044347.0,13044347.0,1449912649.0,0,275.19
336,28.0,19,POST,84,72,279.89,104.83,0.970373,28470728.0,1666667.0,1666667.0,2222222.0,22915172.0,5041338.0,17873834.0,13405376.0,13405376.0,1577900075.0,0,279.89
336,28.0,20,POST,72,60,247.51,104.83,0.975249,25304236.0,1666667.0,1666667.0,2222222.0,19748680.0,4344710.0,15403971.0,11552978.0,11552978.0,1432976155.0,0,247.51
336,28.0,21,POST,60,48,233.41,104.83,0.98015,23982527.0,1666667.0,1666667.0,2222222.0,18426972.0,4053934.0,14373038.0,10779778.0,10779778.0,1402973829.0,0,233.41
336,28.0,22,POST,48,36,236.52,104.83,0.985075,24424380.0,1666667.0,1666667.0,2222222.0,18868824.0,4151141.0,14717683.0,11038262.0,11038262.0,1501826444.0,0,236.52
336,28.0,23,POST,36,24,245.86,104.83,0.990025,25516206.0,1666667.0,1666667.0,2222222.0,19960650.0,4391343.0,15569307.0,11676980.0,11676980.0,1655417753.0,0,245.86
336,28.0,24,POST,24,12,254.33,104.83,0.995,26527369.0,1666667.0,1666667.0,2222222.0,20971814.0,4613799.0,16358015.0,12268511.0,12268511.0,1807041647.0,0,254.33
336,28.0,25,POST,12,0,225.74,104.83,1.0,23664113.0,1666667.0,1666667.0,2222222.0,18108558.0,3983883.0,14124675.0,10593506.0,10593506.0,1616940052.0,0,225.74
337,28.08,6,POST,241,229,202.41,103.65,0.908777,19065739.0,1666667.0,1666667.0,0.0,15732406.0,3461129.0,12271277.0,9203457.0,9203457.0,89782245.0,0,202.41
337,28.08,7,POST,229,217,198.62,103.65,0.913343,18802600.0,1666667.0,1666667.0,0.0,15469267.0,3403239.0,12066028.0,9049521.0,9049521.0,181073020.0,0,198.62
337,28.08,8,POST,217,205,210.81,103.65,0.917933,20056841.0,1666667.0,1666667.0,0.0,16723508.0,3679172.0,13044336.0,9783252.0,9783252.0,292275302.0,0,210.81
337,28.08,9,POST,205,193,216.44,103.65,0.922546,20695750.0,1666667.0,1666667.0,0.0,17362416.0,3819732.0,13542685.0,10157013.0,10157013.0,399882262.0,0,216.44
337,28.08,10,POST,193,181,251.22,103.65,0.927182,24142573.0,1666667.0,1666667.0,0.0,20809239.0,4578033.0,16231207.0,12173405.0,12173405.0,590536291.0,0,251.22
337,28.08,11,POST,181,169,270.52,103.65,0.931841,26127470.0,1666667.0,1666667.0,2222222.0,20571914.0,4525821.0,16046093.0,12034570.0,12034570.0,689719392.0,0,270.52
337,28.08,12,POST,169,157,267.81,103.65,0.936523,25995567.0,1666667.0,1666667.0,2222222.0,20440011.0,4496802.0,15943209.0,11957407.0,11957407.0,786658499.0,0,267.81
337,28.08,13,POST,157,145,265.18,103.65,0.94123,25869679.0,1666667.0,1666667.0,2222222.0,20314123.0,4469107.0,15845016.0,11883762.0,11883762.0,878866375.0,0,265.18
337,28.08,14,POST,145,133,267.36,103.65,0.945959,26213971.0,1666667.0,1666667.0,2222222.0,20658415.0,4544851.0,16113564.0,12085173.0,12085173.0,988877313.0,0,267.36
337,28.08,15,POST,133,121,266.86,103.65,0.950713,26295660.0,1666667.0,1666667.0,2222222.0,20740105.0,4562823.0,16177282.0,12132961.0,12132961.0,1084841283.0,0,266.86
337,28.08,16,POST,121,109,258.82,103.65,0.95549,25632133.0,1666667.0,1666667.0,2222222.0,20076578.0,4416847.0,15659731.0,11744798.0,11744798.0,1136061667.0,0,258.82
337,28.08,17,POST,109,97,254.5,103.65,0.960292,25331105.0,1666667.0,1666667.0,2222222.0,19775549.0,4350621.0,15424928.0,11568696.0,11568696.0,1200670727.0,0,254.5
337,28.08,18,POST,97,85,275.19,103.65,0.965117,27528151.0,1666667.0,1666667.0,2222222.0,21972595.0,4833971.0,17138624.0,12853968.0,12853968.0,1421596408.0,0,275.19
337,28.08,19,POST,85,73,279.89,103.65,0.969967,28138084.0,1666667.0,1666667.0,2222222.0,22582529.0,4968156.0,17614372.0,13210779.0,13210779.0,1547895084.0,0,279.89
337,28.08,20,POST,73,61,247.51,103.65,0.974841,25008589.0,1666667.0,1666667.0,2222222.0,19453033.0,4279667.0,15173366.0,11380024.0,11380024.0,1405617174.0,0,247.51
337,28.08,21,POST,61,49,233.41,103.65,0.97974,23702323.0,1666667.0,1666667.0,2222222.0,18146767.0,3992289.0,14154478.0,10615859.0,10615859.0,1376316365.0,0,233.41
337,28.08,22,POST,49,37,236.52,103.65,0.984663,24139012.0,1666667.0,1666667.0,2222222.0,18583457.0,4088360.0,14495096.0,10871322.0,10871322.0,1473844071.0,0,236.52
337,28.08,23,POST,37,25,245.86,103.65,0.989612,25218082.0,1666667.0,1666667.0,2222222.0,19662526.0,4325756.0,15336770.0,11502578.0,11502578.0,1625302536.0,0,245.86
337,28.08,24,POST,25,13,254.33,103.65,0.994584,26217431.0,1666667.0,1666667.0,2222222.0,20661876.0,4545613.0,16116263.0,12087197.0,12087197.0,1774856420.0,0,254.33
337,28.08,25,POST,13,1,225.74,103.65,0.999582,23387629.0,1666667.0,1666667.0,2222222.0,17832073.0,3923056.0,13909017.0,10431763.0,10431763.0,1587676155.0,0,225.74
337,28.08,26,PRE,1,0,221.47,103.65,1.0,22954439.0,1666667.0,1666667.0,2222222.0,17398884.0,3827754.0,13571129.0,10178347.0,0.0,1427920566.0,0,
338,28.17,6,POST,242,230,202.41,103.82,0.908397,19089720.0,1666667.0,1666667.0,0.0,15756386.0,3466405.0,12289981.0,9217486.0,9217486.0,81876396.0,0,202.41
338,28.17,7,POST,230,218,198.62,103.82,0.912962,18826249.0,1666667.0,1666667.0,0.0,15492916.0,3408441.0,12084474.0,9063356.0,9063356.0,173741772.0,0,198.62
338,28.17,8,POST,218,206,210.81,103.82,0.91755,20082068.0,1666667.0,1666667.0,0.0,16748735.0,3684722.0,13064013.0,9798010.0,9798010.0,284801707.0,0,210.81
338,28.17,9,POST,206,194,216.44,103.82,0.92216,20721780.0,1666667.0,1666667.0,0.0,17388447.0,3825458.0,13562988.0,10172241.0,10172241.0,392573039.0,0,216.44
338,28.17,10,POST,194,182,251.22,103.82,0.926794,24172938.0,1666667.0,1666667.0,0.0,20839605.0,4584713.0,16254892.0,12191169.0,12191169.0,582272597.0,0,251.22
338,28.17,11,POST,182,170,270.52,103.82,0.931452,26160332.0,1666667.0,1666667.0,2222222.0,20604777.0,4533051.0,16071726.0,12053794.0,12053794.0,682132285.0,0,270.52
338,28.17,12,POST,170,158,267.81,103.82,0.936132,26028263.0,1666667.0,1666667.0,2222222.0,20472708.0,4503996.0,15968712.0,11976534.0,11976534.0,779600685.0,0,267.81
338,28.17,13,POST,158,146,265.18,103.82,0.940836,25902217.0,1666667.0,1666667.0,2222222.0,20346662.0,4476266.0,15870396.0,11902797.0,11902797.0,872310351.0,0,265.18
338,28.17,14,POST,146,134,267.36,103.82,0.945564,26246942.0,1666667.0,1666667.0,2222222.0,20691386.0,4552105.0,16139281.0,12104461.0,12104461.0,982649766.0,0,267.36
338,28.17,15,POST,134,122,266.86,103.82,0.950316,26328734.0,1666667.0,1666667.0,2222222.0,20773179.0,4570099.0,16203079.0,12152310.0,12152310.0,1079015671.0,0,266.86
338,28.17,16,POST,122,110,258.82,103.82,0.955091,25664372.0,1666667.0,1666667.0,2222222.0,20108817.0,4423940.0,15684877.0,11763658.0,11763658.0,1130832122.0,0,258.82
